life,LMP,Temperature,Stress,C,Si,Mn,P,S,Cr,Mo,W,Ni,Cu,V,Nb,N,Al,O,N_T,N_Time,CR_N,T_T,T_Time
7,27041.21259,723,412,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
76,27790.03494,723,373,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
401,28312.28009,723,333,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
1836,28789.98665,723,294,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
5794,29150.84016,723,265,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
17613,29499.94421,723,235,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
51,29577.97358,773,294,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
163,29968.04285,773,265,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
1502,30713.58769,773,216,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
3198,30967.29288,773,196,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
13077,31440.08261,773,177,0.159,0.31,0.7,0.007,0.005,2.27,0.99,0.01,0.2,0.04,0.01,0.005,0.0096,0.002,0.01,1203,3.4,3,938,30
